ID;MORADOR;NUMERO_CONTROLE;BLOCO;DT_VISITA;TEMPO_TOTAL_ENTREV;IDADE;PAIS;ESTADO;CIDADE;OUTRA_CIDADE;BAIRRO_BH;REGIAO_BH;REGIONAL_ORIGEM;PRETENDERIA_VIAJAR;PERNOITE_BH;T_PERNOITE;HOSPEDAGEM;TRANSPORTE;MOTIVO_CARNAVAL;MOTIVO_OUTRO;DIAS_CARNAVAL;GASTOS_PRETENDIDOS;PESSOAS_GASTOS;ALIMENTACAO_GASTOS;TRANSPORTE_GASTOS;FANTASIAS_GASTOS;COMPRAS_GASTOS;INGRESSOS_GASTOS;OUTROS_GASTOS;HOSPEDAGEM_GASTOS;PASSEIOS_GASTOS;TOTAL_GASTOS;INDIVIDUAL_GASTOS;DIARIO_GASTOS;FONTE_CARNAVAL;PARTICIPOU_ANOSANTERIORES;EVOLUCAO;MOTIVO;EXPECTATIVAS;AVAL_GERAL;AVAL_BANHEIROS;AVAL_SEGURANCA;AVAL_PRECOS;PROXIMA_EDICAO;MOTIVO_NAO;BLOCOS_DE_RUA;EVENTOS_PRIVADOS;PALCOS;CIRCUITO_GASTRONOMICO;CITY_TOUR;VISITA_CULTURAL;NAO_SABE;PRINCIPAL_PATROCINADOR;GENERO;ESCOLARIDADE;ESTADO_CIVIL;FAIXA_DE_RENDA;TRANSP_A_PE;TRANSP_APP;TRANSP_BICICLETA;TRANSP_CAR_AMIGOS_PARENTES;TRANSP_TAXI;TRANSP_OUTROS;TRANSP_VEICULO_PROPRIO;TRANSP_VEICULO_ALUGADO;TRANSP_ONIBUS_COLETIVO;TRANSP_NS;TRANSP_METRO
688;morador;688;alo_abacaxi;03/03/2019 11:20;00:05:03;20;brasil;mg;belo_horizonte;NA;funciorios;centro-sul;belo_horizonte;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;5;2000;real;1;500;300;0;200;0;0;0;NA;1000;1000;www.carnavaldebelohorizonte.com.br;sim;melhorou;NR_NAO_SABE;superou;8;7;9;10;sim;NA;NA;NA;sim;NA;NA;NA;NA;skol;masculino;ensino_superior_incompleto;solteiro;entre_5_sm_e_7_sm_(rs_4.990,01_a_rs_6.986,00);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;outra_opcao
689;morador;689;alo_abacaxi;03/03/2019 11:39;00:03:30;30;brasil;mg;belo_horizonte;NA;sion;centro-sul;belo_horizonte;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;3;600;real;1;200;100;50;0;0;0;0;NA;350;350;guia_impresso;sim;melhorou;NR_NAO_SABE;superou;8;6;7;6;sim;NA;NA;NA;sim;NA;NA;NA;NA;populacao;masculino;ensino_superior_completo;solteiro;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);a_pe;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;metro
690;morador;690;alo_abacaxi;03/03/2019 11:44;00:02:28;23;brasil;mg;belo_horizonte;NA;prado;oeste;belo_horizonte;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;4;700;real;2;300;100;30;30;0;0;0;NA;460;230;amigos/parentes;sim;melhorou;NR_NAO_SABE;superou;10;7;9;6;sim;NA;NA;NA;sim;NA;NA;NA;NA;skol;feminino;ensino_superior_incompleto;solteiro;entre_5_sm_e_7_sm_(rs_4.990,01_a_rs_6.986,00);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;metro
691;morador;691;alo_abacaxi;03/03/2019 11:53;00:05:23;26;brasil;mg;ibirite;NA;NA;NA;rmbh;nao;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;2;300;real;1;150;30;20;0;0;0;0;NA;200;200;facebook;sim;melhorou;NR_NAO_SABE;superou;8;6;8;7;sim;NA;NA;NA;sim;NA;NA;NA;NA;populacao;masculino;ensino_medio_completo;solteiro;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;metro
692;morador;692;alo_abacaxi;03/03/2019 11:48;00:05:48;24;brasil;mg;belo_horizonte;NA;anchieta;centro-sul;belo_horizonte;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;6;400;real;1;400;60;0;50;0;100;0;NA;510;510;amigos/parentes;sim;melhorou;NR_NAO_SABE;superou;8;8;8;5;nao;conhecer_outros_lugares;NA;NA;NA;NA;NA;NA;NA;skol;masculino;ensino_superior_completo;solteiro;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
693;morador;693;alo_abacaxi;03/03/2019 11:54;00:04:43;22;brasil;mg;belo_horizonte;NA;caicaras;noroeste;belo_horizonte;nao;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;5;400;real;1;300;100;100;nr_nao_sabe;0;50;0;NA;500;500;amigos/parentes;sim;nem_melhorou_nem_piorou;NR_NAO_SABE;atendeu_plenamente;10;7;8;8;sim;NA;NA;NA;NA;NA;NA;NA;NA;ambev;feminino;ensino_medio_completo;solteiro;entre_1_sm_e_3_sm_(rs_998,01_a_rs_2.994,00);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
694;morador;694;alo_abacaxi;03/03/2019 11:59;00:04:24;24;brasil;mg;belo_horizonte;NA;jaragua;pampulha;belo_horizonte;nao;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;6;400;real;1;400;150;0;0;0;0;0;NA;550;550;amigos/parentes;sim;melhorou;NR_NAO_SABE;atendeu_plenamente;9;6;10;10;sim;NA;NA;NA;NA;NA;NA;NA;NA;uber;masculino;ensino_superior_completo;solteiro;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
695;morador;695;alo_abacaxi;03/03/2019 11:33;00:06:27;36;brasil;mg;betim;NA;NA;NA;rmbh;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;2;100;real;1;80;0;0;0;0;0;0;NA;80;80;amigos/parentes;sim;melhorou;NR_NAO_SABE;atendeu_plenamente;10;10;10;10;sim;NA;NA;NA;sim;NA;NA;NA;NA;skol;feminino;ensino_medio_completo;solteiro;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);outra_opcao;outra_opcao;outra_opcao;carro_de_amigos_ou_parentes;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
696;morador;696;alo_abacaxi;03/03/2019 11:54;00:03:51;45;brasil;mg;ibirite;NA;NA;NA;rmbh;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;1;150;real;1;100;0;0;0;0;0;0;NA;100;100;amigos/parentes;sim;melhorou;NR_NAO_SABE;atendeu_plenamente;10;10;10;10;sim;NA;NA;NA;NA;NA;NA;NA;sim;skol;masculino;ensino_medio_completo;solteiro;entre_5_sm_e_7_sm_(rs_4.990,01_a_rs_6.986,00);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;outra_opcao
697;morador;697;alo_abacaxi;03/03/2019 11:49;00:02:14;23;brasil;mg;belo_horizonte;NA;mantiqueira;venda_nova;belo_horizonte;nao;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;2;100;real;1;50;0;0;0;0;0;0;NA;50;50;amigos/parentes;sim;nem_melhorou_nem_piorou;NR_NAO_SABE;atendeu_plenamente;10;10;10;10;sim;NA;NA;NA;sim;NA;NA;NA;NA;skol;feminino;ensino_medio_completo;solteiro;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;outra_opcao
